"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar productos al carrito de compras","Agregar 1 producto al carro","SUCCESS","2023-01-22T13:12:26.4843321-05:00[America/Bogota]","0.0","182.03"
"Autenticarse en la App Éxito",": Autenticacion exitosa","SUCCESS","2023-01-22T13:20:05.9966919-05:00[America/Bogota]","0.0","161.97"
